Topic,Definition
HELD COVERED,"A provisional acceptance of risk, subject to confirmation at a later date that the agreed cover is needed. Where applicable to an existing insurance, cover is conditional, in practice, on prompt advice to the Underwriter as soon as the Assured is aware of the circumstances to be held covered coming into effect, and a reasonable additional premium is payable if the risk held covered comes into effect."
HIRED AUTOMOBILE,"Autos the insured leases, hires, rents or borrows but not autos owned by employees or members of their households."
HIT AND RUN,"Collision between a motor vehicle with another motor vehicle, object or pedestrian, where the driver of the vehicle leaves the scene of the accident without identifying himself."
HMO (HEALTH MAINTENANCE ORGANIZATION),"An organization that provides health care for a monthly payment set in advance. In a traditional HMO, doctors and other providers are salaried employees and the facilities are owned by the organization. In recent years, however, other forms of HMOs have sprung up that contract with doctors and hospitals to care for members at set, negotiated fees. Many HMOs are hybrids, offering both kinds of care to members."
HOLD-HARMLESS AGREEMENT,"A contractual arrangement whereby one party assumes the liability inherent in a situation, thereby relieving the other party of responsibility. Such agreements are typically found in contracts like leases. A typical lease may provide that the lessee must ""hold harmless the lessor for any liability from accidents arising out of the premises."
ICC CLAUSES,(see Institute Cargo Clauses)
INDEMNIFY,"To restore the victim of a loss, in whole or in part, by payment, repair or replacement."
INDEMNITY BOND,A bond which indemnifies the obligee against loss which arises as a result of failure on the part of a principal to perform.
INDEPENDENT ADJUSTER,"An adjuster who works as an independent contractor, hiring himself out to insurance companies or other organizations for the investigation and settlement of claims."
INDEPENDENT CONTRACTOR,One who agrees to perform according to a contract and who is not an employee.
INHERENT VICE,A defect or cause of loss arising out of the nature of the goods in question.
INLAND MARINE INSURANCE,"A branch of the insurance business which developed from the insuring of shipments which did not involve ocean voyages. Exposures eligible for this form of protection are described in the nationwide definition of Marine Insurance. Such diverse properties as bridges, tunnels, jewelry, and furs can now be written under Inland Marine forms."
INSTITUTE CARGO CLAUSES,"Treaty wordings developed by the International Chamber of Commerce. There are three basic sets of these clauses (A, B and C). The A clauses cover ""all risks"", subject to specified exclusions. The B and C clauses cover specified ""risks"", subject to specified exclusions. (See actual ICC Clauses treaty wordings via ""Ocean Reference"" link at left.)"
INSURABLE INTEREST,A direct monetary interest in the insured property sufficient to result in monetary loss should the property be damaged or destroyed.
INSURABLE RISK,A risk which meets most of the following requisites: (1) The loss insured against must be defined; (2) It must be accidental; (3) It must be large enough to cause hardship to the insured; (4) It must belong to a homogenous group of risks large enough to make losses predictable; (5) It must not be subject to the same loss at the same time as a large number of other risks; (6) The insurance company must be able to determine a reasonable cost for the insurance; (7) The insurance company must be able to calculate the chance of loss.
INSURANCE,"A system to protect persons, groups, or businesses against the risks of financial loss by transferring the risks to a large group who agree to share the financial losses in exchange for premium payments."
INSURED,"The person whose risk is transferred and shared; the party to an insurance agreement whom the insurer agrees to indemnify for losses, provide benefits for, or render services to."
INSURER,"The company or group offering protection through the sale of an insurance policy to an insured; the party to an insurance agreement who undertakes to indemnify for losses, provide pecuniary benefits, or render services."
JOINT LIFE POLICY,Pays the insurance amount when the first of two or more covered persons dies.
KEY MAN (KEY EMPLOYEE) INSURANCE POLICY,"An insurance policy on the life of a key employee whose death would cause the employer financial loss, owned by and payable to the employer."
MOTOR TRUCK CARGO - OWNERS FORM,"This form insures the owner of a truck against loss to his own property while being transported. It pays for the loss or damage of cargo for the perils insured against, regardless of the legal liability."
MOTOR TRUCK CARGO - TRUCKERS FORM,"This form indemnifies the policyholder, a trucker, for loss or damage resulting from his legal liability as a carrier while transporting the property of others. I does not insure against any loss for which he is not legally liable."
MYSTERIOUS DISAPPEARANCE,"The disappearance of insured property in a mysterious, unexplained manner."
NAMED INSURED,"Any person, firm, or corporation, or any member thereof, specifically designated by name as insured(s) in a policy as distinguished from  the others who, though unnamed, are protected under some circumstances."
NAMED PERIL POLICIES,"Named Peril Policies specify what perils are insured against, as opposed to so-called all-risk policies."
NEGLIGENCE,Failure to use the degree of care expected from a reasonable and prudent person.
NO-FAULT,"A system in which each drivers auto insurance coverage pays for injuries and damage, no matter who caused the accident."
NON-CANCELABLE POLICY,"A policy which the insured has the right to continue in force by the timely payment of premiums set forth in the policy, during which period the insurer has no right to make unilaterally any change in any provision of the policy while the policy is in force. (See also ""Guaranteed Renewable Policy"".)"
NOTICE OF LOSS,Written notice of a loss to the insurance company as outlined in the conditions of the insurance policy.
OBLIGEE,"Broadly, anyone in whose favor an obligation runs. This term is most frequently used in surety bonds, where it refers to the person, firm or corporation protected by the bond."
OBLIGOR,"Commonly called principal; one bound by an obligation. Under a bond, strictly speaking, both the principal and the surety are obligors."
OCCUPANCY,"In insurance, this term refers to the type and character of the use of property in question."
OCCURRENCE COVERAGE,"A policy providing liability coverage only for injury or loss that occurs during the policy period, regardless of when the claim is actually made."
OPEN COVER,"An agreement whereby the Assured undertakes to declare every item (e.g. shipment, vessel, etc. as appropriate) that comes within the scope of the cover in the order in which the risk attaches. The insurer agrees, at the time of concluding the contract, to accept all valid declarations up to the agreed limit for each declaration. An open cover may be for a fixed period or always open; subject to a cancellation clause."
OVERAGE,An additional premium charged on a cargo open cover declaration because the carrying vessel is outside the scope of the classification clause.
PACKAGE POLICY,An insurance policy including two or more lines or types of coverages in the same contract.
PARTIAL LOSS,A loss under an insurance policy which does not either (1) completely destroy or render worthless the insured property; or (2) exhaust the insurance applying thereto.
PARTICULAR AVERAGE,Accidental partial loss of the subject matter insured proximately caused by an insured peril. In a freight at risk policy the term may be applied to a claim for loss of freight following particular average loss of goods.
PAYROLL AUDIT,An examination of the insureds payroll records by a representative of the insurance company to determine the premium due on a policy.
PERIL,"A term used in the Marine Insurance Act (1906) to denote a hazard. The principle of proximate cause is applied to an insured peril to determine whether or not a loss is recoverable. In modern practice the term ""risk"" often replaces ""peril""."
PERSONAL ARTICLES FLOATER,"Provides all risk coverage for valuable items such as furs, jewelry, etc. formerly insured under separate contracts."
PERSONAL EFFECTS FLOATER,"An Inland Marine Policy covering worldwide, except in the insureds domicile, personal effects usually carried by a tourist."
PERSONAL INJURY,"Injury other than bodily injury arising out of false arrest or detention, malicious prosecution, wrongful entry or eviction, libel or slander, or violation of a persons right to privacy committed other than in the course of advertising, publishing, broadcasting, publishing, or telecasting."
PERSONAL INJURY COVERAGE,"Liability insurance coverage for third party claims for damages which are other than physical such as libel, slander, false arrest, etc."
PERSONAL INJURY PROTECTION,"The formal name usually given to no-fault benefits in states that have enacted mandatory or optional no-fault Automobile Insurance coverages. PIP usually includes benefits for medical expenses, loss of work income, essential services, accidental death and funeral expenses."
PERSONAL LINES,This term is used to refer to insurance for individuals and families such as private passenger automobile or homeowner insurance.
POLICY,"The written statement of a contract effecting insurance, or certificates thereof, by whatever name called and including all causes, riders, endorsements and papers attached thereto and made part thereof."
POLICY PERIOD,The period during which the policy contract affords protection.
PRE-CERTIFICATION AUTHORIZATION,"A cost containment technique which requires physicians to submit a treatment plan and an estimated bill prior to providing treatment. This allows the insurer to evaluate the appropriateness of the procedures, and lets the insured and the physician know in advance which procedures are covered and at what rates benefits will be paid."
PRE-EXISTING CONDITIONS,A physical condition of an insured person which existed prior to the issuance of the policy.
PREMISES,The particular location of a property or a portion thereof as designated in a policy.
PREMIUM,"The payment for an insurance policy, usually paid periodically (annually, semi-annually, quarterly, or monthly)."
PRIOR DAMAGE,Pre-existing damage that occurred prior to the loss in question.
PRO-RATA,"Cancellation of an insurance contract by the insurance company, allowing a policyholder a share of the premium relating to the remainder of the time under the contract that bears to the total contract premium."
PRODUCTS LIABILITY INSURANCE,"Provides protection against claims arising out of the use, handling or consumption of a product."
PROFESSIONAL LIABILITY INSURANCE,"Liability insurance to indemnify professionals, doctors, lawyers, architects, etc. for the loss or expense resulting from claim on account of bodily injuries because of any malpractice, error or mistake committed or alleged to have been committed by the insured in his profession."
PROOF OF LOSS,A statement made to the insurance company under oath setting out the basis of an insureds claim under the insurance policy.
PROPERTY DAMAGE (LIABILITY) INSURANCE,"Protection against liability for damage to the property of another not in the care, custody and control of the insured, as distinguished from liability for bodily injury."
PROPERTY INSURANCE,Insurance which indemnifies a person with an interest in physical property for its loss or the loss of its income-producing ability.
PROSCRIPTION,Outside of the time period in which a legal action can be commenced.
PROXIMATE CAUSE,The immediate and effective cause of loss or damage. It is an unbroken chain of cause and effect between the occurrence of an insured peril or a negligent act and resulting injury or damage.
QUALIFIED PLAN,"A plan under which contributions by the employer are allowed as a deduction from taxable income, and which provides that the deposits for his employees future benefits are not to be considered as taxable income to them in the year in which they are made."
RATING BUREAU,An organization that classifies and promulgates and in some cases compiles data and measures hazards of individual risks in terms of rates in a given territory.
RECOVERY,Amount recovered from a third party responsible for a loss on which a claim has been paid.
REBATE,A reduction of a premium.
REIMBURSEMENT,Payment of an amount of money related to the amount of loss to or on behalf of the insured upon the occurrence of a defined loss.
REINSTATEMENT,(1) Putting a lapsed policy back in force; (2) The payment of a claim under some forms of insurance reduces the principal amount of the policy by the amount of the claim. Provision is usually made for a method of reinstating the policy to its original amount.
REINSURANCE,(1) A contract of indemnity against liability by which the insurance company procures another insurance to insure against loss or liability by reason of the original insurance; (2) Insurance by one insurance company of all or part of a risk accepted by it with another insurance company which agrees to reimburse the insurance company for the portion of the claim insured.
REPLACEMENT CLAUSE,A clause limiting Underwriters liability for damage to machinery cargo.
REPLACEMENT COST,The cash value representing what it would cost to replace the specific property without deduction for depreciation.
REPORTING FORM,"Fire or other direct damage insurance written under a form of policy that covers fluctuating values of stocks of merchandise, furniture and fixtures and improvements by means of periodic reports submitted to the insurance company by the insured, with an annual adjustment of premium on the average value."
RETROACTIVE DATE,"Date on a ""claims made"" liability policy which triggers the beginning of insurance coverage. A retroactive date is not required. If one is shown on a policy, any claim made during the policy period will not be covered if the loss occurred before the retroactive date."
RIDER,"An endorsement to an insurance policy that modifies clauses and provisions of the policy, adding or excluding coverage(s)."
RISK,A fortuity. A term used to designate an insured of a peril insured against. It does not embrace inevitable loss. The term is used to define causes of loss covered by a policy.
SALVAGE,(1) Property taken over by an insurance company to reduce its loss; (2) Award recoverable by salvors under maritime law.
SALVAGE CHARGES,The award due to a salvor for services rendered in saving the insured property.
SALVAGE LOSS,Occurs when the Underwriter agrees to settle a cargo claim by paying the difference between the insured value and the proceeds realized by selling the damaged goods.
SCHEDULE,"(1) A list of specified amounts payable for, usually, surgical procedures, dismemberments, ancillary expenses or the like in Health Insurance policies; (2) The list of individual items covered under one policy as the various buildings or animals and other property in property insurance; (3) In Marine policies, a list attached to a slip, open cover, policy or other document, usually detailing the rates of premium for various voyages, interests and risks."
SCHEDULE OF LOSS,"Notice completed by the insured documenting loss or damage to contents, personal property and/or stock."
SEAWORTHINESS WARRANTY,"There is an implied warranty in every voyage policy that the ship must be seaworthy at the commencement of the insured voyage or, if the voyage is carried out in stages, at the commencement of each stage of the voyage. To be seaworthy, the ship must be reasonably fit in all respects to encounter the ordinary perils of the contemplated voyage, property crewed, fuelled and provisioned, and with all her equipment in proper working order. Cargo policies waive breach of the warranty, except where the Assured or their servants are privy to the unseaworthiness. Breach of the warranty is not excused in a hull voyage policy, literal compliance therewith being required. Although there is no warranty of seaworthiness in a hull time policy, claims arising from unseaworthiness may be prejudiced if the ship sails in an unseaworthy condition with the knowledge of the Assured."
SECURITY,The Underwriters subscribing a risk. The Insurers.
SHORT-RATE,Cancellation of an insurance contract at the request of the policyholder with a refund of premiums to the policyholder less than would be given under pro-rata consideration.
SOLVENCY,Sufficient assets and income.  It is the primary responsibility of a states insurance department is to monitor insurance companies licensed to transact business within their state and make certain that they remain solvent and have the ability to pay the claims of their policyholders.
SPECIFIED DISEASE INSURANCE,"A policy which provides stated benefits, usually of large amounts, toward the expense of treatment of the disease or diseases named in the policy."
STOP LOSS,(1) Any provision in a policy designed to cut off the insurance companys loss at a given point. Aggregate benefits and maximum benefits are an example; (2) A type of reinsurance designed to transfer the loss from the ceding company to the reinsurer at a given point.
SUBROGATION,"The legal process by which an insurance company seeks from a third party who may have caused the loss, recovery of the amount paid to the insured."
SUBROGATION WAIVER,A waiver by the named insured giving up any right of recovery against another party. Normally an insurance policy requires that subrogation (recovery) rights be preserved.
SUE AND LABOR,"Expenses incurred by the Assured or their representatives with the intention of preventing or minimizing a loss for which the Underwriter would have been liable. They do not include expenses incurred in general average or salvage acts; these being recoverable under the policy only as part of the Underwriters liability for contribution to general average or salvage, if any. Sue and labor charges are recoverable under a policy that incorporates a sue and labor clause (SG policy), or in accordance with the wording of the policy (e.g. under the ""duty of the Assured"" clause attached to a MAR policy)."
SURETY,(1) A term loosely used to describe the business or suretyship or bonds. Suretyship is an arrangement whereby one party becomes answerable to a third party for the acts of neglect of a second party; (2) The party in a surety arrangement who holds himself responsible to one person for the acts of another.
SURETY BOND,A bond in which the surety agrees to answer to the obligee for the non-performance of the principal (known as the obligor).
TAIL,"This term has been used to describe both the exposure that exists after expiration of a policy and the coverage that may be purchased to cover that exposure. On ""occurrence"" forms a claims tail may extend for years after policy expiration, and the losses may be covered. On ""claims made"" forms tail coverage may be purchased to extend the period for reporting covered claims beyond the normal policy period."
TERM INSURANCE,Life insurance issued for a stated temporary period of time.
TITLE INSURANCE,Indemnifies the owner of real estate in the event clear ownership of property is challenged by discovery of faults in the title.
TO PAY AS CARGO,Used in an ancillary insurances relating to the cargo (e.g. increased value) when the Assured is not required to show evidence of loss or interest and can claim on the policy if he can show that a corresponding loss has been settled on the main cargo policy.
TOTAL LOSS,"This can be actual total loss or constructive total loss, where the cost of damage repair exceeds the value of the property insured."
TRANSIT CLAUSE,"A clause in the Institute Cargo Clauses, specifying the attachment and termination of cover."
TRUCKMENS LIABILITY FORM,See Motor Truck Cargo Policy
UMBRELLA LIABILITY POLICY,A liability policy designed to provide liability protection above and beyond that provided by standard liability contracts.
UNDER-INSURANCE,"A condition in which not enough insurance is carried to cover the insurable value, and, especially, to satisfy a coinsurance clause."
UNDERWRITER,"(1) A person trained in evaluating risks and determining the rates and coverages that will be used for them; (2) An agent, especially a life insurance agent, who might qualify as a ""field underwriter."""
UNDERWRITING,"The process of examining, accepting, or rejecting insurance risks, and classifying those selected in order to charge the proper premium for each."
UNINSURED MOTORIST COVERAGE,Endorsement to a personal automobile policy that covers an insured involved in a collision with a driver who does not have liability insurance.
UNIVERSAL LIFE INSURANCE,A flexible premium policy that combines protection against premature death with a savings account that typically earns a money market rate of interest.
VALUABLE PAPERS AND RECORDS INSURANCE,"An Inland Marine or burglary insurance coverage providing for the replacement of valuable papers, records and forms."
VOID POLICY,One which is inadmissible as evidence in a court of law (e.g. P.P.I. policy).
WAITING PERIOD,A period of time between the beginning of a disability and the date benefits begin.
WAIVE,To forego; to refrain from insisting upon application of an insurance deductible under specific conditions.
WAIVER CLAUSE,A clause which entitles both Underwriter and Assured to take measures to prevent or reduce loss without prejudice to the rights of either party.
WARRANTY,"A statement made on an application for insurance that is warranted to be true in all respects. If untrue in any respect, even though the untruth may not have been known to the person giving the warranty, the contract may be voided whether or not the untruth or inexactness is material to the risk."
WATERBORNE AGREEMENT,A market understanding whereby Underwriters cover goods against war risks only whilst they are on the overseas vessel. This rule is relaxed only in the case of goods in a transshipping port for a short period awaiting onward carriage.
WHOLE LIFE INSURANCE,"Life insurance payable to a beneficiary at the time of death of the insured, whenever that occurs."
WITHOUT BENEFIT OF SALVAGE,"A term in a marine insurance policy, whereby the Underwriters forgo their subrogation rights. A policy incorporating such a term is deemed to be a gambling policy in law, and is therefore invalid in a court of law."
WITHOUT PREJUDICE,"The claim is paid on this occasion, although the Underwriter feels it does not attach to the policy, but this action must not be treated as a precedent for future similar claims."
WORKERS COMPENSATION,"(1) A schedule of benefits payable to an employee for injury, disability, dismemberment, or death as a result of occupational hazard. The payments are a liability of an employer. (2) Insurance agreeing to pay the Workers Compensation benefits required by law on behalf of the employer."
TAX CREDIT,"Tax credits, the most appealing type of tax deductions, are subtracted directly, dollar for dollar, from your income tax bill."
TAX DEFERRED,"Interest, dividends, or capital gains that grow untaxed in certain accounts or plans until they are withdrawn."
TAX-EXEMPT BONDS,"Under certain conditions, the interest from bonds issued by states, cities, and certain other government agencies is exempt from federal income taxes. In many states, the interest from tax-exempt bonds will also be exempt from state and local income taxes."
TAXABLE INCOME,"The amount of income used to compute tax liability. It is determined by subtracting adjustments, itemized deductions or the standard deduction, and personal exemptions from gross income."
TECHNICAL ANALYSIS,An approach to investing in stocks in which a stocks past performance is mapped onto charts. These charts are examined to find familiar patterns to use as an indicator of the stocks future performance.
TENANCY IN COMMON,"A form of co-ownership. Upon the death of a co-owner, his or her interest passes to his or her chosen beneficiaries and not to the surviving owner or owners."
TESTAMENTARY TRUST,A trust established by a will that takes effect upon death.
TESTATOR,One who has made a will or who dies having left a will.
TOTAL RETURN,"The total of all earnings from a given investment, including dividends, interest, and any capital gain."
TRUST,A legal entity created by an individual in which one person or institution holds the right to manage property or assets for the benefit of someone else. Types of trusts include: Testamentary Trust ? A trust established by a will that takes effect upon death; Living Trust ? A trust created by a person during his or her lifetime; Revocable Trust ? A trust in which the creator reserves the right to modify or terminate the trust; Irrevocable Trust ? A trust that may not be modified or terminated by the trustor after its creation
TRUSTEE,An individual or institution appointed to administer a trust for its beneficiaries.
TRUSTEE-TO-TRUSTEE TRANSFER,A method of transferring retirement plan assets from one employers plan to another employer plan or to an IRA. One benefit of this method is that no federal income tax will be withheld by the trustee of the first plan.
VARIABLE UNIVERSAL LIFE INSURANCE,"A type of life insurance that combines a death benefit with a savings element that accumulates tax deferred. Under a variable universal life insurance policy, the cash value in the policy can be placed in a variety of subaccounts with different investment objectives. The policyholder can transfer funds among the subaccounts as he or she wishes. Fees are charged after a certain number of transfers."
VOLATILITY,The range of price swings of a security or market over time.
WELFARE BENEFIT PLAN,"An employee benefit plan that provides such benefits as medical, sickness, accident, disability, death, or unemployment benefits."
WILL,"A legal document that declares a persons wishes concerning the disposition of property, the guardianship of his or her children, and the administration of the estate after his or her death."
YIELD,"In general, the yield is the amount of current income provided by an investment. For stocks, the yield is calculated by dividing the total of the annual dividends by the current price. For bonds, the yield is calculated by dividing the annual interest by the current price. The yield is distinguished from the return, which includes price appreciation or depreciation."
ZERO-COUPON BOND,This type of bond makes no periodic interest payments but instead is sold at a steep discount from its face value. Bondholders receive the face value of their bonds when they mature.
